Item No,Last Name,First Name,VIAF,Wikipedia Entry,Born,Died,Works in HTRC?,Biological,Pos.(s) in Chronogram,Getty A&A,Unnamed: 11,Item Type
435,Freyssinet,Eugène,http://viaf.org/viaf/54279372,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Freyssinet,6/13/1879,6/8/62,No,,1925,,,
436,van Doesburg,Theo,http://viaf.org/viaf/308859473,https://en.wikipedia.org/wiki/Theo_van_Doesburg,8/30/1883,3/7/31,No,,1925,,,
437,Ferris,Hugh,http://viaf.org/viaf/39100,https://en.wikipedia.org/wiki/Hugh_Ferriss,7/12/1889,1/28/62,No,,1926,,,
438,Melnikov,Konstantin,http://viaf.org/viaf/111746182,https://en.wikipedia.org/wiki/Konstantin_Melnikov,08/03/1890,11/28/74,No,,1926,,,
439,Rietveld,Gerrit,http://viaf.org/viaf/15562113,https://en.wikipedia.org/wiki/Gerrit_Rietveld,6/24/1888,6/25/64,No,,1926,,,
440,Cret,Paul Philippe,http://viaf.org/viaf/88942809,https://en.wikipedia.org/wiki/Paul_Philippe_Cret,10/23/1876,9/8/45,No,,1928,,,
441,Van Alen,William,http://viaf.org/viaf/64813992,https://en.wikipedia.org/wiki/William_Van_Alen,8/10/1883,5/24/54,No,,1928,,,
442,Bohm,Dominikus,http://viaf.org/viaf/27865161,https://en.wikipedia.org/wiki/Dominikus_B%C3%B6hm,10/23/1880,8/6/55,No,,1929,,,
443,Duiker,Jan,http://viaf.org/viaf/54978148,https://en.wikipedia.org/wiki/Jan_Duiker,3/1/1890,2/23/35,No,,1929,,,
444,Moisei,Ginzburg,http://viaf.org/viaf/36973011,https://en.wikipedia.org/wiki/Moisei_Ginzburg,6/4/1892,1/7/46,No,,1929,,,
445,Schindler,Rudolph,http://viaf.org/viaf/34535142,https://en.wikipedia.org/wiki/Rudolph_Schindler_(architect),09/10/1887,8/22/53,No,,1929,,,
446,Chareau,Pierre,http://viaf.org/viaf/24610646,https://en.wikipedia.org/wiki/Pierre_Chareau,8/4/1883,8/24/50,No,,1930,,,
447,Giedion,Sigfried,http://viaf.org/viaf/64006335,https://en.wikipedia.org/wiki/Sigfried_Giedion,4/14/1888,4/10/68,No,,1930,,,
448,Meyer,Hannes,http://viaf.org/viaf/20472726,https://en.wikipedia.org/wiki/Hannes_Meyer,11/18/1889,7/19/54,No,,1930,,,
449,Moholy-Nagy,Laszlo,http://viaf.org/viaf/22203431,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Moholy-Nagy,7/20/1895,11/24/46,No,,1930,,,
450,Terragni,Giuseppe,http://viaf.org/viaf/40174669,https://en.wikipedia.org/wiki/Giuseppe_Terragni,4/18/04,7/19/43,No,,1931,,,
451,Schultze-Naumburg,Paul,http://viaf.org/viaf/3269092,https://en.wikipedia.org/wiki/Paul_Schultze-Naumburg,6/10/1869,5/19/49,No,,1932,,,
452,Stam,Mart,http://viaf.org/viaf/72195519,https://en.wikipedia.org/wiki/Mart_Stam,8/5/1899,2/21/86,No,,1932,,,
453,Williams,William Carlos,,https://en.wikipedia.org/wiki/William_Carlos_Williams,9/17/1883,3/4/63,Yes,,1932,,,
454,Lemaresquier,Charles,http://viaf.org/viaf/44292846,https://en.wikipedia.org/wiki/Charles_Lemaresquier,10/16/1870,1/6/72,No,,1933,,,
455,Rimpl,Herbert,http://viaf.org/viaf/25504183,https://de.wikipedia.org/wiki/Herbert_Rimpl,1/25/02,6/2/78,No,,1935,,,
456,Muzio,Giovanni,http://viaf.org/viaf/3270688,https://en.wikipedia.org/wiki/Giovanni_Muzio,2/12/1893,5/21/82,No,,1936,,,
457,Sartoris,Alberto,http://viaf.org/viaf/117576649,https://fr.wikipedia.org/wiki/Alberto_Sartoris,2/2/01,3/8/98,No,,1936,,,
458,Speer,Albert,,https://en.wikipedia.org/wiki/Albert_Speer,3/19/05,9/1/81,Yes,,1937,,,
459,Troost,Paul,http://viaf.org/viaf/8165119,https://en.wikipedia.org/wiki/Paul_Troost,8/17/1878,1/21/34,No,,1937,,,
460,Klotz,Clemens,http://viaf.org/viaf/18022555,https://en.wikipedia.org/wiki/Clemens_Klotz,5/31/1886,8/18/69,No,,1938,,,
461,Torroja,Eduardo,http://viaf.org/viaf/32877262,https://en.wikipedia.org/wiki/Eduardo_Torroja,8/27/1899,6/15/61,No,,1938,,,
462,Wachsmann,Konrad,http://viaf.org/viaf/94333531,https://en.wikipedia.org/wiki/Konrad_Wachsmann,5/16/01,11/25/80,No,,1938,,,
463,de Finetti,Giuseppe,http://viaf.org/viaf/64881157,https://it.wikipedia.org/wiki/Giuseppe_de_Finetti,3/5/1892,1/19/52,No,,1939,,,
464,Libera,Adalberto,http://viaf.org/viaf/59883492,https://en.wikipedia.org/wiki/Adalberto_Libera,7/16/03,3/17/63,No,,1939,,,
465,Stadia,,,,,,No,,1939,,,
466,Kreis,Wilhelm,http://viaf.org/viaf/115619930,https://en.wikipedia.org/wiki/Wilhelm_Kreis,3/17/1873,8/13/55,No,,1940,,,
467,Harris,Harwell Hamilton,http://viaf.org/viaf/38309362,https://en.wikipedia.org/wiki/Harwell_Hamilton_Harris,7/2/03,11/18/90,No,,1941,,,
468,Sagebiel,Ernst,http://viaf.org/viaf/20439598,https://en.wikipedia.org/wiki/Ernst_Sagebiel,10/2/1892,3/5/70,No,,1941,,,
469,Piacentini,Marcello,http://viaf.org/viaf/39370470,https://en.wikipedia.org/wiki/Marcello_Piacentini,12/8/1881,5/19/60,No,,1942,,,
470,Vopra,,,,,,No,,1944,,,
471,Zholtovsky,Ivan,http://viaf.org/viaf/23837172,https://en.wikipedia.org/wiki/Ivan_Zholtovsky,11/27/1867,7/16/59,No,,1944,,,
472,Shchusev,Alexey,http://viaf.org/viaf/5674151778225418130007,https://en.wikipedia.org/wiki/Alexey_Shchusev,10/8/1873,5/24/49,No,,1945,,,
473,Soto,Jesús Rafael,http://viaf.org/viaf/17691,https://en.wikipedia.org/wiki/Jes%C3%BAs_Rafael_Soto,6/5/23,1/17/05,No,,1947,,,
474,Erith,Raymond,http://viaf.org/viaf/8239452,https://en.wikipedia.org/wiki/Raymond_Erith,8/7/04,11/30/73,No,,1948,,,
475,Tufaroli,Mario,,-,-,-,No,,1948,,,
476,Nowicki,Maciej,http://viaf.org/viaf/28397801,https://en.wikipedia.org/wiki/Maciej_Nowicki_(architect),6/26/10,9/1/50,No,,1950,,,
477,Vallingby,,http://viaf.org/viaf/132708938,https://en.wikipedia.org/wiki/V%C3%A4llingby,,,No,,1950,,,
478,Morandi,Giorgio,http://viaf.org/viaf/7399099,https://en.wikipedia.org/wiki/Giorgio_Morandi,7/20/1890,6/18/64,No,,1953,,,
479,Rainer,Arnulf,http://viaf.org/viaf/59210402,https://en.wikipedia.org/wiki/Arnulf_Rainer,12/8/29,,No,,1953,,,
480,Soleri,Paolo,,https://en.wikipedia.org/wiki/Paolo_Soleri,6/21/19,4/9/13,Yes,,1953,,,
481,Costa,Lúcio,http://viaf.org/viaf/24785160,https://en.wikipedia.org/wiki/L%C3%BAcio_Costa,2/27/02,6/13/98,No,,1954,,,
482,Zevi,Bruno,,https://en.wikipedia.org/wiki/Bruno_Zevi,1/22/18,1/9/00,Yes,,1954,,,
483,Bakema,Jaap,http://viaf.org/viaf/74646638,https://en.wikipedia.org/wiki/Jaap_Bakema,3/8/14,2/20/81,No,,1955,,,
484,Gardella,Ignazio,https://viaf.org/en/viaf/100244344,https://en.wikipedia.org/wiki/Ignazio_Gardella,3/30/05,3/16/99,No,,1955,,,
485,Schoeffer,Nicolas,http://viaf.org/viaf/7396954,https://en.wikipedia.org/wiki/Nicolas_Sch%C3%B6ffer,6-Sep-12,8-Jan-92,No,,1955,,,
486,Schultze-Fielitze,Eckhard,,https://de.wikipedia.org/wiki/Eckhard_Schulze-Fielitz,12/24/29,9/1/21,No,,1956,,,
487,Maekawa,Kunio,http://viaf.org/viaf/91944476,https://en.wikipedia.org/wiki/Kunio_Maekawa,5/14/05,6/26/86,No,,1957,,,
488,Neumann,Alfred,http://viaf.org/viaf/316391418,https://en.wikipedia.org/wiki/Alfred_Neumann_(architect),1/26/00,10/23/68,No,,1957,,,
489,Lewerentz,Sigurd,http://viaf.org/viaf/77114985,https://en.wikipedia.org/wiki/Sigurd_Lewerentz,7/29/1885,12/29/75,No,,1958,,,
490,Ronchamp,,http://viaf.org/viaf/155939852,https://en.wikipedia.org/wiki/Ronchamp,,,No,,1958,,,
491,Albini,Franco,http://viaf.org/viaf/845533,https://en.wikipedia.org/wiki/Franco_Albini,10/17/05,11/1/77,No,,1959,,,person
492,Dominioni,Luigi Caccia,http://viaf.org/viaf/96604094,https://en.wikipedia.org/wiki/Luigi_Caccia_Dominioni,12/7/13,11/13/16,No,,1959,,,
493,Aulenti,Gae,http://viaf.org/viaf/79173999,https://en.wikipedia.org/wiki/Gae_Aulenti,12/4/27,10/31/12,No,,1960,,,
494,Friedman,Yona,http://viaf.org/viaf/49225738,https://en.wikipedia.org/wiki/Yona_Friedman,6/5/23,2/20/20,No,,1960,,,
495,Hausermann,Pascal,https://viaf.org/en/viaf/66585853,https://architectuul.com/architect/pascal-hausermann,1936,2011,No,,1960,,,
496,Prouvé,Jean,http://viaf.org/viaf/2475783,https://en.wikipedia.org/wiki/Jean_Prouv%C3%A9,4/18/01,3/23/84,No,,1960,,,
497,Eiermann,Egon,http://viaf.org/viaf/10640142,https://en.wikipedia.org/wiki/Egon_Eiermann,9/29/04,7/19/70,No,,1961,,,
498,Harrison,Wallace,http://viaf.org/viaf/79404254,https://en.wikipedia.org/wiki/Wallace_Harrison,09/28/1895,12/2/81,No,,1961,,,
499,Jacobs,Jane,http://viaf.org/viaf/90712053,https://en.wikipedia.org/wiki/Jane_Jacobs,5/4/16,4/25/06,No,,1961,,,
500,Johansen,John M.,http://viaf.org/viaf/113523673,https://en.wikipedia.org/wiki/John_M._Johansen,6/29/16,10/26/12,No,,1961,,,
501,ULM,,http://viaf.org/viaf/164037957,https://en.wikipedia.org/wiki/Ulm_School_of_Design,1953,,No,,1961,,,
502,Doxiadis,Constantinos Apostolou,http://viaf.org/viaf/312689,https://en.wikipedia.org/wiki/Constantinos_Apostolou_Doxiadis,5/14/13,6/28/75,No,,1962,,,
503,Koenig,Pierre,http://viaf.org/viaf/109094818,https://en.wikipedia.org/wiki/Pierre_Koenig,10/17/25,4/4/04,No,,1962,,,
504,Stone,Edward Durell,http://viaf.org/viaf/92666920,https://en.wikipedia.org/wiki/Edward_Durell_Stone,3/9/02,8/6/78,No,,1962,,,
505,van Eyck,Aldo,http://viaf.org/viaf/185217848,https://en.wikipedia.org/wiki/Aldo_van_Eyck,3/16/18,1/14/99,No,,1962,,,
506,Valle,Gino,http://viaf.org/viaf/96470811,https://it.wikipedia.org/wiki/Gino_Valle,12/7/23,9/30/03,No,,1963,,,
507,Cumbernauld,,"https://viaf.org/en/viaf/124365072
https://viaf.org/en/viaf/133741637",,,,No,,1965,,,
508,Woods,Lebbeus,,https://en.wikipedia.org/wiki/Lebbeus_Woods,5/31/40,10/30/12,Yes,,1965,,,
509,Shoeffer,,,,,,No,,1966,,,
510,The Whites,,http://viaf.org/viaf/145912003,,,,No,,1967,,,
511,Yamasaki,Minoru,http://viaf.org/viaf/79409150,https://en.wikipedia.org/wiki/Minoru_Yamasaki,12/1/12,2/6/86,No,,1967,,,
512,Böhm,Gottfried,http://viaf.org/viaf/92946938,https://en.wikipedia.org/wiki/Gottfried_B%C3%B6hm,1/23/20,6/9/21,No,,1968,,,
513,Habraken,John,http://viaf.org/viaf/79211690,https://en.wikipedia.org/wiki/N._John_Habraken,10/29/28,10/21/23,No,,1968,,,
514,Hertzberger,Herman,http://viaf.org/viaf/54244045,https://en.wikipedia.org/wiki/Herman_Hertzberger,7/6/32,,No,,1968,,,
515,Kikutake,Kiyonori,http://viaf.org/viaf/96133831,https://en.wikipedia.org/wiki/Kiyonori_Kikutake,4/1/28,12/26/11,No,,1968,,,
516,Venturi,Robert,,https://en.wikipedia.org/wiki/Robert_Venturi,6/25/25,9/18/18,Yes,,1968,,,
517,Seifert,Richard,http://viaf.org/viaf/96273574,https://en.wikipedia.org/wiki/Richard_Seifert,11/25/10,10/26/01,No,,1970,,,
518,Pietilä,Reima,http://viaf.org/viaf/95709497,https://en.wikipedia.org/wiki/Reima_and_Raili_Pietil%C3%A4,8/25/23,8/26/93,No,,1972,,,
519,Scully,Vincent,,https://en.wikipedia.org/wiki/Vincent_Scully,8/21/20,11/30/17,Yes,,1972,,,
520,Nikken Sekki,,,,,,No,,1973,,,
521,Prince,Bart,http://viaf.org/viaf/236149294282880521410,https://en.wikipedia.org/wiki/Bart_Prince,6/24/47,,No,,1974,,,
522,Kallman,Gerhard,http://viaf.org/viaf/5058157643283538590004,https://en.wikipedia.org/wiki/Gerhard_Kallmann,2/13/15,6/19/12,No,,1977,,,
523,La Tendenza,,http://viaf.org/viaf/260393336,https://www.studiointernational.com/la-tendenza-italian-architecture-1965-1985,,,No,,1977,,,
524,Peichl,Gustav,http://viaf.org/viaf/64799820,https://en.wikipedia.org/wiki/Gustav_Peichl,3/18/28,11/17/19,No,,1977,,,
525,Ishii,Kazuhiro,http://viaf.org/viaf/52827221,,2/1/44,1/14/15,No,,1978,,,
526,Gough,Piers,http://viaf.org/viaf/267354602,https://en.wikipedia.org/wiki/Piers_Gough,4/24/46,,No,,1979,,,
527,Jerde,Jon,http://viaf.org/viaf/4219149198258074940004,https://en.wikipedia.org/wiki/Jon_Jerde,1/22/40,2/9/15,No,,1979,,,
528,Pei,I M,http://viaf.org/viaf/2491588,https://en.wikipedia.org/wiki/I._M._Pei,4/26/17,5/16/19,No,,1979,,,
529,Alberts,Anton,http://viaf.org/viaf/96210715,https://en.wikipedia.org/wiki/Anton_Alberts_(architect),7/6/27,8/16/99,No,,1980,,,person
530,Outram,John,http://viaf.org/viaf/44136111,https://en.wikipedia.org/wiki/John_Outram,6/21/34,,No,,1980,,,
531,Ungers,Oswald,http://viaf.org/viaf/49341123,https://en.wikipedia.org/wiki/Oswald_Mathias_Ungers,7/12/26,9/30/07,No,,1980,,,
532,Scogin,Mack,http://viaf.org/viaf/271334203,https://en.wikipedia.org/wiki/Mack_Scogin_Merrill_Elam,1984,,No,,1982,,,
533,Terry,Quinlan,,https://en.wikipedia.org/wiki/Quinlan_Terry,7/24/37,,Yes,,1982,,,
534,Beeby,Thomas,http://viaf.org/viaf/31578069,https://en.wikipedia.org/wiki/Thomas_H._Beeby,1941,,No,,1985,,,
535,KPF,,http://viaf.org/viaf/124919683,https://en.wikipedia.org/wiki/Kohn_Pedersen_Fox,1976,,No,,1985,,,
536,SOM,,,https://en.wikipedia.org/wiki/SOM_(architectural_firm),1936,,No,,1985,,,
537,Pattern Language,,http://viaf.org/viaf/9246156858511749780007,https://en.wikipedia.org/wiki/A_Pattern_Language,1977,,No,,1986,,,
538,Sottsass,Ettore,,https://en.wikipedia.org/wiki/Ettore_Sottsass,9/14/17,12/31/07,Yes,,1986,,,
539,MacCormac,Richard,http://viaf.org/viaf/261246317,https://en.wikipedia.org/wiki/Richard_MacCormac,9/3/38,7/26/14,No,,1987,,,
540,Badran,Rasem,http://viaf.org/viaf/96507036,https://en.wikipedia.org/wiki/Rasem_Badran,1945,,No,,1989,,,
541,Domenig,Gunther,https://viaf.org/viaf/93110836,https://en.wikipedia.org/wiki/G%C3%BCnther_Domenig,7/6/34,6/15/12,No,,1990,,,
542,Takamatsu,Shin,http://viaf.org/viaf/79072499,https://en.wikipedia.org/wiki/Shin_Takamatsu,8/5/48,,No,,1990,,,
543,Vandenhove,Charles,http://viaf.org/viaf/20520026,https://en.wikipedia.org/wiki/Charles_Vandenhove,7/3/27,1/22/19,No,,1990,,,
544,Bicknell,Julian,http://viaf.org/viaf/3023049,https://en.wikipedia.org/wiki/Julian_Bicknell,2/23/45,,No,,1991,,,
545,"S,M,L,XL",,http://viaf.org/viaf/345144928979754440909,"https://en.wikipedia.org/wiki/S,M,L,XL",10/31/95,,No,,1991,,,
546,Siza Vieria,Alvaro,http://viaf.org/viaf/5027394,https://en.wikipedia.org/wiki/%C3%81lvaro_Siza_Vieira,6/25/33,,No,,1991,,,
547,Tschumi,Bernard,,https://en.wikipedia.org/wiki/Bernard_Tschumi,1/25/44,,Yes,,1992,,,
548,Jiricna,Eva,http://viaf.org/viaf/5112937,https://en.wikipedia.org/wiki/Eva_Ji%C5%99i%C4%8Dn%C3%A1,3/3/39,,No,,1993,,,
549,Karmi,Ram,http://viaf.org/viaf/96239445,https://en.wikipedia.org/wiki/Ram_Karmi,1931,4/11/13,No,,1993,,,
550,Prix,Wolf Dieter,http://viaf.org/viaf/15031103,https://en.wikipedia.org/wiki/Wolf_Dieter_Prix,12/13/42,,No,,1993,,,
551,Schultes,Axel ,http://viaf.org/viaf/45103640,https://de.wikipedia.org/wiki/Axel_Schultes,11/17/43,,No,,1993,,,
552,Tigerman,Stanley,http://viaf.org/viaf/108825481,https://en.wikipedia.org/wiki/Stanley_Tigerman,9/20/30,6/3/19,No,,1993,,,
553,von Gerkan,Meinhard,,https://en.wikipedia.org/wiki/Meinhard_von_Gerkan,1/3/35,11/30/22,Yes,,1993,,,
554,Wilford,Michael ,http://viaf.org/viaf/112845561,https://en.wikipedia.org/wiki/Michael_Wilford,9/9/38,3/10/23,No,,1993,,,
555,Jones,Edward,http://viaf.org/viaf/47845428,https://en.wikipedia.org/wiki/Edward_Jones_(English_architect),10/20/39,,No,,1995,,,
556,Mecanoo,,http://viaf.org/viaf/150284077,https://en.wikipedia.org/wiki/Mecanoo,1984,,No,,1995,,,
557,Alsop,William,http://viaf.org/viaf/79069104,https://en.wikipedia.org/wiki/Will_Alsop,12/12/47,5/12/18,No,,1996,,,person
558,Kitagawara,Atsushi,http://viaf.org/viaf/108332632,https://en.wikipedia.org/wiki/Atsushi_Kitagawara,1951,,No,,1996,,,
559,Lovins,Amory,http://viaf.org/viaf/108190727,https://en.wikipedia.org/wiki/Amory_Lovins,11/13/47,,No,,1996,,,
560,Balmond ,Cecil,http://viaf.org/viaf/64828512,https://en.wikipedia.org/wiki/Cecil_Balmond,1943,,No,,1997,,,
561,Bolles+Wilson,,http://viaf.org/viaf/263893601,https://en.wikipedia.org/wiki/Bolles%2BWilson,1980,,No,,1997,,,
562,Coates,Nigel,http://viaf.org/viaf/95722473,https://en.wikipedia.org/wiki/Nigel_Coates_(architect),1949,,No,,1997,,,
563,Fisher,Mark,http://viaf.org/viaf/29739141,https://en.wikipedia.org/wiki/Mark_Fisher_(architect),4/20/47,6/25/13,No,,1997,,,
564,Makovecz,Imre,http://viaf.org/viaf/111336623,https://en.wikipedia.org/wiki/Imre_Makovecz,11/20/35,9/27/11,No,,1997,,,
565,Navarro,Agustin,http://viaf.org/viaf/96203323,https://en.wikipedia.org/wiki/Agust%C3%ADn_Hern%C3%A1ndez_Navarro,2/29/24,11/10/22,No,,1997,,,
566,Ushida Findlay,,http://viaf.org/viaf/130639030,https://en.wikipedia.org/wiki/Ushida_Findlay_Architects,1986,,No,,1997,,,
567,Benson,Gordon,http://viaf.org/viaf/74749519,https://en.wikipedia.org/wiki/Benson_%26_Forsyth,10/5/44,,No,,1998,,,
568,Dixon,Jeremy,http://viaf.org/viaf/59987981,https://en.wikipedia.org/wiki/Jeremy_Dixon,5/31/39,,No,,1998,,,
569,Porphyrios,Demetri,http://viaf.org/viaf/27138236,https://en.wikipedia.org/wiki/Demetri_Porphyrios,1949,,No,,1998,,,
570,Ciriani,Henri,http://viaf.org/viaf/54263344,https://en.wikipedia.org/wiki/Henri_Ciriani,12/30/36,,No,,1999,,,
571,Kipnis,Jeff,http://viaf.org/viaf/10000483,https://en.wikipedia.org/wiki/Jeff_Kipnis,1951,,No,,2001,,,
572,Takasaki,Masaharu,http://viaf.org/viaf/30360828,,1953,,No,,2001,,,
573,Vinoly,Rafael,http://viaf.org/viaf/25542313,https://en.wikipedia.org/wiki/Rafael_Vi%C3%B1oly,6/1/44,3/2/23,No,,2001,,,
574,BROOKES,,http://viaf.org/viaf/73850749,,,,No,,2002,,,
575,FOA,,http://viaf.org/viaf/151063924,https://en.wikipedia.org/wiki/Foreign_Office_Architects,1993,,No,,2002,,,
576,Herzog,Jacques,http://viaf.org/viaf/118759,https://en.wikipedia.org/wiki/Jacques_Herzog,4/19/50,,No,,2002,,,
577,Sejima,Kazuyo,,https://en.wikipedia.org/wiki/Kazuyo_Sejima,10/29/56,,Yes,,2002,,,
578,Short/Ford,,http://viaf.org/viaf/127755783,,,,No,,2002,,,
579,Simpson,John,http://viaf.org/viaf/7229426,https://en.wikipedia.org/wiki/John_Simpson_(architect),11/9/54,,No,,2002,,,
580,Simpson,John William,,https://en.wikipedia.org/wiki/John_William_Simpson,9/9/1858,3/30/33,Yes,,2002,,,
581,Spuybroek,Lars,http://viaf.org/viaf/52768161,https://en.wikipedia.org/wiki/Lars_Spuybroek,9/16/59,,No,,2003,,,
582,Saarinen,Eliel,http://viaf.org/viaf/39471157,https://en.wikipedia.org/wiki/Eliel_Saarinen,8/20/1873,7/1/50,No,,"1900, 1913",,,
583,Garnier,Charles,https://viaf.org/en/viaf/41840486,https://en.wikipedia.org/wiki/Charles_Garnier_(architect),11/6/1825,9/3/1898,No,,"1902, 1903",,,
584,Wright,Frank Lloyd,,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,6/8/1867,4/9/59,Yes,,"1903, 1932, 1938, 1953",,,
585,Mackintosh,Charles,http://viaf.org/viaf/74645185,https://en.wikipedia.org/wiki/Charles_Rennie_Mackintosh,6/7/1868,12/10/28,No,,"1904, 1905",,,
586,Muthesius,Hermann,http://viaf.org/viaf/36994033,https://en.wikipedia.org/wiki/Hermann_Muthesius,4/20/1861,10/29/27,No,,"1907, 1913",,,
587,Taut,Bruno,,https://en.wikipedia.org/wiki/Bruno_Taut,04/04/1880,12/24/38,Yes,,"1910, 1929",,,
588,de Klerk,Michel,http://viaf.org/viaf/54971116,https://en.wikipedia.org/wiki/Michel_de_Klerk,11/24/1884,11/24/23,No,,"1914, 1921",,,
589,Lutyens,Edwin,http://viaf.org/viaf/64048126,https://en.wikipedia.org/wiki/Edwin_Lutyens,3/29/1869,1/1/44,No,,"1916, 1914",,,
590,Nervi,Pier Luigi,http://viaf.org/viaf/71453417,https://en.wikipedia.org/wiki/Pier_Luigi_Nervi,6/21/1891,1/9/79,No,,"1921, 1955",,,
591,Mies van der Rohe,Ludwig ,http://viaf.org/viaf/95153318,https://en.wikipedia.org/wiki/Ludwig_Mies_van_der_Rohe,3/27/1886,8/17/69,No,,"1921, 1956",,,
592,Ginzburg,Moisei,http://viaf.org/viaf/36973011,https://en.wikipedia.org/wiki/Moisei_Ginzburg,06/04/1892,1/7/46,No,,"1927, 29",,,
593,Michelucci,Giovanni,http://viaf.org/viaf/112495870,https://en.wikipedia.org/wiki/Giovanni_Michelucci,1/2/1891,12/31/90,No,,"1942, 1961",,,
594,Niemeyer,Oscar,http://viaf.org/viaf/95725437,https://en.wikipedia.org/wiki/Oscar_Niemeyer,12/15/07,12/5/12,No,,"1955, 1964",,,
595,Eames,Charles and Ray,"http://viaf.org/viaf/15576677
http://viaf.org/viaf/62354916",https://en.wikipedia.org/wiki/Charles_and_Ray_Eames,,,No,,"1956, 1957",,,
596,Erskine,Ralph,http://viaf.org/viaf/95748450,https://en.wikipedia.org/wiki/Ralph_Erskine_(architect),2/24/14,3/16/05,No,,"1956, 1971",,,
597,Utzon,Jørn,http://viaf.org/viaf/109411665,https://en.wikipedia.org/wiki/J%C3%B8rn_Utzon,4/9/18,11/29/08,No,,"1958, 1970",,,
598,Tange,Kenzo,,https://en.wikipedia.org/wiki/Kenz%C5%8D_Tange,9/4/13,3/22/05,Yes,,"1960, 1972, 2000",,,
599,Arups,,http://viaf.org/viaf/119774526,https://en.wikipedia.org/wiki/Arup_Group,1946,,No,,"1960, 1975",,,firm
600,Piano,Renzo,http://viaf.org/viaf/95804495,https://en.wikipedia.org/wiki/Renzo_Piano,9/14/37,,No,,"1962, 1992",,,
601,Eisenmann,Peter,http://viaf.org/viaf/54297401,https://en.wikipedia.org/wiki/Peter_Eisenman,8/11/32,,No,,"1970, 1987",,,
602,Rogers,Richard,http://viaf.org/viaf/90597250,https://en.wikipedia.org/wiki/Richard_Rogers,7/23/33,12/18/21,No,,"1971, 1993, 2001",,,
603,Stern,Robert A. M. ,,https://en.wikipedia.org/wiki/Robert_A._M._Stern,5/23/39,,Yes,,"1973, 1985",,,
604,Hopkins,Michael ,http://viaf.org/viaf/101582971,https://en.wikipedia.org/wiki/Michael_Hopkins_(architect),5/7/35,6/17/23,No,,"1979, 1985",,,
605,Arquitectonica,,http://viaf.org/viaf/135562537,https://arquitectonica.com/ https://en.wikipedia.org/wiki/Arquitectonica,1977,,No,,"1980, 1987",,,firm
606,Behnisch,Gunter,http://viaf.org/viaf/820613,https://en.wikipedia.org/wiki/G%C3%BCnter_Behnisch,6/12/22,7/12/10,No,,"1982, 1995",,,
607,Yeang,Ken,,https://en.wikipedia.org/wiki/Ken_Yeang,10/6/48,,Yes,,"1998, 2001",,,
608,Lougheur Act,,,,,,,,,,,
