Item No,Last Name,First Name,VIAF,Wikipedia Entry,Born,Died,Works in HTRC?,Biological,Pos.(s) in Chronogram,Getty A&A,Unnamed: 11,Item Type
82,Farrell,Terry,,https://en.wikipedia.org/wiki/Terry_Farrell_(architect),5/12/38,,Yes,4567,1990,,,
83,Fathy,Hassan,,https://en.wikipedia.org/wiki/Hassan_Fathy,3/23/00,11/30/89,Yes,45,1979,,,
84,Ferris,Hugh,,https://en.wikipedia.org/wiki/Hugh_Ferriss,7/12/1889,1/28/62,No,3,1926,,,
85,Finsterlin,Hermann,,https://en.wikipedia.org/wiki/Hermann_Finsterlin,08/18/1887,9/16/73,No,3,1924,,,
86,Fischer,Alfred,,https://en.wikipedia.org/wiki/Alfred_Fischer_(architect),8/29/1881,4/10/50,No,,1909,,,
87,Fisher,Mark,,https://en.wikipedia.org/wiki/Mark_Fisher_(architect),4/20/47,6/25/13,No,,1997,,,
88,FOA,,,https://en.wikipedia.org/wiki/Foreign_Office_Architects,1993,,No,,2002,,,
89,Foster,Norman,,"https://en.wikipedia.org/wiki/Norman_Foster,_Baron_Foster_of_Thames_Bank",6/1/35,,Yes,,"1971, 1998",,,
90,Frampton,Kenneth,,https://en.wikipedia.org/wiki/Kenneth_Frampton,11/20/30,,Yes,,1985,,,
91,Freyssinet,Eugène,,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Freyssinet,6/13/1879,6/8/62,No,,1925,,,
92,Friedman,Yona,,https://en.wikipedia.org/wiki/Yona_Friedman,6/5/23,2/20/20,No,,1960,,,
93,Fromin,,,,,,No,,1944,,,
94,Fuksas,Massimiliano,,https://en.wikipedia.org/wiki/Massimiliano_Fuksas,1/9/44,,Yes,,1993,,,
95,Fuller,Buckminster,,https://en.wikipedia.org/wiki/Buckminster_Fuller,7/12/1895,7/1/83,Yes,,"1929, 1958",,,
96,Gardella,Ignazio,,https://en.wikipedia.org/wiki/Ignazio_Gardella,3/30/05,3/16/99,No,,1955,,,
97,Garnier,Charles,,https://en.wikipedia.org/wiki/Charles_Garnier_(architect),11/6/1825,9/3/1898,No,,"1902, 1903",,,
98,Gaudi,Antoni,,https://en.wikipedia.org/wiki/Antoni_Gaud%C3%AD,6/25/1852,6/10/26,No,,1902,,,
99,Gehry,Frank,,https://en.wikipedia.org/wiki/Frank_Gehry,2/28/29,,Yes,,"1980, 1982, 1992",,,
100,Gibberd,Frederick,,https://en.wikipedia.org/wiki/Frederick_Gibberd,1/7/08,1/9/84,Yes,,1963,,,
101,Giedion,Sigfried,,https://en.wikipedia.org/wiki/Sigfried_Giedion,4/14/1888,4/10/68,No,,1930,,,
102,Gilbert,Cass,,https://en.wikipedia.org/wiki/Cass_Gilbert,11/24/1859,5/17/34,Yes,,1918,,,
103,Gill,Irving`,,https://en.wikipedia.org/wiki/Irving_Gill,4/26/1870,10/7/36,No,,1919,,,
104,Ginzburg,Moisei,,https://en.wikipedia.org/wiki/Moisei_Ginzburg,06/04/1892,1/7/46,No,,"1927, 29",,,
105,Gocar,Josef,,https://en.wikipedia.org/wiki/Josef_Go%C4%8D%C3%A1r,3/13/1880,9/10/45,No,,1903,,,
106,Goff,Bruce,,https://en.wikipedia.org/wiki/Bruce_Goff,6/8/04,8/4/82,Yes,,1956,,,
107,Gough,Piers,,https://en.wikipedia.org/wiki/Piers_Gough,4/24/46,,No,,1979,,,
108,Graves,Michael ,,https://en.wikipedia.org/wiki/Michael_Graves,7/9/34,3/12/15,Yes,,1976,,,
109,Greene,Charles Sumner,,https://en.wikipedia.org/wiki/Greene_and_Greene,1868,1957,Yes,,1908,,,
110,Greene,Henry Mather,,https://en.wikipedia.org/wiki/Greene_and_Greene,1/23/1870,10/2/54,Yes,,1908,,,
111,Greene,Herb,,https://en.wikipedia.org/wiki/Herb_Greene_(architect),1929,,Yes,,1962,,,
112,Grimshaw,Nicholas,,https://en.wikipedia.org/wiki/Nicholas_Grimshaw,10/9/39,,Yes,,"1977, 1994",,,
113,Gropius,Walter,,https://en.wikipedia.org/wiki/Walter_Gropius,5/18/1883,7/5/69,Yes,,1927,,,
114,Guimard,Hector,http://viaf.org/viaf/71400445,https://en.wikipedia.org/wiki/Hector_Guimard,3/10/1867,5/20/42,No,,1898,,,
115,Gwathmey,Charles,,https://en.wikipedia.org/wiki/Charles_Gwathmey,6/19/38,8/3/09,Yes,,1975,,,
116,Habraken,John,,https://en.wikipedia.org/wiki/N._John_Habraken,10/29/28,10/21/23,No,,1968,,,
117,Hadid,Zaha,,https://en.wikipedia.org/wiki/Zaha_Hadid,10/31/50,3/31/16,Yes,,1990,,,
118,Hampstead,,,,,,No,,1912,,,
119,Hara,Hiroshi,,https://en.wikipedia.org/wiki/Hiroshi_Hara_(architect),9/9/36,,Yes,,1996,,,
120,Haring,Hugo,,https://en.wikipedia.org/wiki/Hugo_H%C3%A4ring,05/11/1882,5/17/58,No,,1922,,,
121,Harris,Harwell Hamilton,,https://en.wikipedia.org/wiki/Harwell_Hamilton_Harris,7/2/03,11/18/90,No,,1941,,,
122,Harrison,Wallace,,https://en.wikipedia.org/wiki/Wallace_Harrison,09/28/1895,12/2/81,No,,1961,,,
123,Hasegawa,Itsuko,,https://en.wikipedia.org/wiki/Itsuko_Hasegawa,1941,,Yes,,"1980, 2002",,,
124,Hausermann,Pascal,,https://architectuul.com/architect/pascal-hausermann,1936,,No,,1960,,,
125,Hauszinsteur,,,,,,No,,,,,
126,Hecker,Ziv,,https://en.wikipedia.org/wiki/Zvi_Hecker,5/31/31,9/24/23,No,,1989,,,
127,Hejduk,John,,https://en.wikipedia.org/wiki/John_Hejduk,7/19/29,7/3/00,Yes,,1970,,,
128,Hellerau,,,,,,No,,1912,,,
129,Hertzberger,Herman,,https://en.wikipedia.org/wiki/Herman_Hertzberger,7/6/32,,No,,1968,,,
130,Herzog,Jacques,,https://en.wikipedia.org/wiki/Jacques_Herzog,4/19/50,,No,,2002,,,
131,Hilberseimer,Ludwig,,https://en.wikipedia.org/wiki/Ludwig_Hilberseimer,9/14/1885,5/6/67,Yes,,1931,,,
132,Hoffman,Josef,,https://en.wikipedia.org/wiki/Josef_Hoffmann,12/15/1870,5/7/56,No,,1904,,,
133,Holden,Charles,,https://en.wikipedia.org/wiki/Charles_Holden,5/12/1875,5/1/60,No,,1916,,,
134,Holl,Steven,,https://en.wikipedia.org/wiki/Steven_Holl,12/9/47,,Yes,,1999,,,
135,Hollein,Hans,,https://en.wikipedia.org/wiki/Hans_Hollein,3/30/34,4/24/14,Yes,,1977,,,
136,Hood,Raymond,,https://en.wikipedia.org/wiki/Raymond_Hood,3/29/1881,8/14/34,Yes,,1925,,,
137,Hopkins,Michael ,,https://en.wikipedia.org/wiki/Michael_Hopkins_(architect),5/7/35,6/17/23,No,,"1979, 1985",,,
138,Horta,Victor,,https://en.wikipedia.org/wiki/Victor_Horta,1/6/1861,9/8/47,No,,1902,,,
139,Howard,Ebenezer,,https://en.wikipedia.org/wiki/Ebenezer_Howard,1/29/1850,5/1/28,No,,1903,,,
140,Hundertwasser,Friedensreich,,https://en.wikipedia.org/wiki/Friedensreich_Hundertwasser,12/15/28,2/19/00,Yes,,1976,,,
141,Ishii,Kazuhiro,,,2/1/44,1/14/15,No,,1978,,,
142,Isozaki,Arata,,https://en.wikipedia.org/wiki/Arata_Isozaki,7/23/31,12/28/22,Yes,,1973,,,
143,Jacobs,Jane,,https://en.wikipedia.org/wiki/Jane_Jacobs,5/4/16,4/25/06,No,,1961,,,
144,Jacobs,Robert Allan,,https://en.wikipedia.org/wiki/Robert_Allan_Jacobs,9/16/05,11/4/93,Yes,,1961,,,
145,Jencks,Charles,,https://en.wikipedia.org/wiki/Charles_Jencks,6/21/39,10/13/19,Yes,,1973,,,
146,Jensen-Klint,Peder Vilhelm,,https://en.wikipedia.org/wiki/Peder_Vilhelm_Jensen-Klint,06/21/1853,12/1/30,No,,1910,,,
147,Jerde,Jon,,https://en.wikipedia.org/wiki/Jon_Jerde,1/22/40,2/9/15,No,,1979,,,
148,Jiricna,Eva,,https://en.wikipedia.org/wiki/Eva_Ji%C5%99i%C4%8Dn%C3%A1,3/3/39,,No,,1993,,,
149,Johansen,John M.,,https://en.wikipedia.org/wiki/John_M._Johansen,6/29/16,10/26/12,No,,1960,,,
150,Johansen,John M.,,https://en.wikipedia.org/wiki/John_M._Johansen,6/29/16,10/26/12,No,,1961,,,
151,Johnson,Philip,,https://en.wikipedia.org/wiki/Philip_Johnson,7/8/06,1/25/05,Yes,,"1952, 1976",,,
152,Jones,Edward,,https://en.wikipedia.org/wiki/Edward_Jones_(English_architect),10/20/39,,No,,1995,,,
153,Jourdain,Frantz,,https://en.wikipedia.org/wiki/Frantz_Jourdain,10/3/1847,8/22/35,No,,1905,,,
154,Kahn,Louis,,https://en.wikipedia.org/wiki/Louis_Kahn,3/5/01,3/17/74,Yes,,1966,,,
155,Kallman,Gerhard,,https://en.wikipedia.org/wiki/Gerhard_Kallmann,2/13/15,6/19/12,No,,1977,,,
156,Karmi,Ram,,https://en.wikipedia.org/wiki/Ram_Karmi,1931,4/11/13,No,,1993,,,
157,Kiesler,Frederick John,,https://en.wikipedia.org/wiki/Frederick_John_Kiesler,9/22/1890,12/27/65,Yes,,"1938, 1959",,,
158,Kikutake,Kiyonori,,https://en.wikipedia.org/wiki/Kiyonori_Kikutake,4/1/28,12/26/11,No,,1968,,,
159,Kipnis,Jeff,,https://en.wikipedia.org/wiki/Jeff_Kipnis,1951,,No,,2001,,,
160,Kitagawara,Atsushi,,https://en.wikipedia.org/wiki/Atsushi_Kitagawara,1951,,No,,1996,,,
161,Klint,Kaare,,https://en.wikipedia.org/wiki/Kaare_Klint,12/15/1888,3/23/54,,,1922,,,
162,Klotz,Clemens,,https://en.wikipedia.org/wiki/Clemens_Klotz,5/31/1886,5/22/05,No,,1938,,,
163,Koch,Carl,,https://en.wikipedia.org/wiki/Carl_Koch_(architect),5/11/12,7/3/98,Yes,,1959,,,
164,Koenig,Pierre,,https://en.wikipedia.org/wiki/Pierre_Koenig,10/17/25,4/4/04,No,,1962,,,
165,Koolhaas,Rem,,https://en.wikipedia.org/wiki/Rem_Koolhaas,11/17/44,,Yes,,1986,,,
166,Kotera,Jan,http://viaf.org/viaf/69848397,https://en.wikipedia.org/wiki/Jan_Kot%C4%9Bra,12/18/1871,4/17/23,No,,1899,,,
167,KPF,,,https://en.wikipedia.org/wiki/Kohn_Pedersen_Fox,1976,,No,,1985,,,
168,Kramer,Piet,,https://en.wikipedia.org/wiki/Piet_Kramer,7/1/1881,2/4/61,No,,1917,,,
169,Kreis,Wilhelm,,https://en.wikipedia.org/wiki/Wilhelm_Kreis,3/17/1873,8/13/55,No,,1940,,,
170,Krier,Leon,,https://en.wikipedia.org/wiki/L%C3%A9on_Krier,4/7/46,,Yes,,1980,,,
171,Krier,Rob,,https://en.wikipedia.org/wiki/Rob_Krier,6/10/38,11/1/23,Yes,,1994,,,
172,Kroll,Lucien,,https://en.wikipedia.org/wiki/Lucien_Kroll,3/13/27,8/1/22,Yes,,1970,,,
173,Kurokawa,Kisho,,https://en.wikipedia.org/wiki/Kisho_Kurokawa,4/8/34,10/12/07,Yes,,"1962, 1977, 1992",,,
174,La Tendenza,,,https://www.studiointernational.com/la-tendenza-italian-architecture-1965-1985,,,No,,1977,,,
175,Lanchester,Henry Vaughan,,https://en.wikipedia.org/wiki/H._V._Lanchester,8/9/1863,1/16/53,No,,1900,,,
176,Le Corbusier,,,https://en.wikipedia.org/wiki/Le_Corbusier,10/06/1887,8/27/65,Yes,,"1920, 1927, 1950, 1965",,,
177,Le Ricolais,Robert,,https://en.wikipedia.org/wiki/Robert_Le_Ricolais,10/30/1894,6/4/77,No,,1924,,,
178,Lechner,Odon,,"https://en.wikipedia.org/wiki/%C3%96d%C3%B6n_Lechner#:~:text=In%20the%20early%201900s%2C%20he,his%20search%20for%20larger%20commissions.",8/27/1845,6/10/14,No,,1900,,,
179,Legoretta,Ricardo,,https://en.wikipedia.org/wiki/Ricardo_Legorreta,5/7/31,12/30/11,No,,1988,,,
180,Lemaresquier,Charles,,https://en.wikipedia.org/wiki/Charles_Lemaresquier,10/16/1870,1/6/72,No,,1933,,,
181,Leonidov,Ivan,,https://en.wikipedia.org/wiki/Ivan_Leonidov,2/9/02,11/6/59,No,,1923,,,
182,Letchworth,,,https://en.wikipedia.org/wiki/Letchworth,,,No,,1903,,,
183,Lethaby,William,http://viaf.org/viaf/49308242,https://en.wikipedia.org/wiki/William_Lethaby,1/18/1857,7/17/31,No,,1899,,,
184,Lewerentz,Sigurd,,https://en.wikipedia.org/wiki/Sigurd_Lewerentz,7/29/1885,12/29/75,No,,1958,,,
185,Libera,Adalberto,,https://en.wikipedia.org/wiki/Adalberto_Libera,7/16/03,3/17/63,No,,1939,,,
186,Libeskind,Daniel,,https://en.wikipedia.org/wiki/Daniel_Libeskind,5/12/46,,Yes,,2001,,,
187,Lin,Maya,,https://en.wikipedia.org/wiki/Maya_Lin,10/5/59,,Yes,,1986,,,
188,Lissitzky,El ,,https://en.wikipedia.org/wiki/El_Lissitzky,11/24/1890,12/30/41,No,,1919,,,
189,Lofam,,,,,,No,,1945,,,
190,Loos,Adolf,,https://en.wikipedia.org/wiki/Adolf_Loos,12/10/1870,8/23/33,No,,1903,,,
191,Lovins,Amory,,https://en.wikipedia.org/wiki/Amory_Lovins,11/13/47,,No,,1996,,,
192,Lucrat,Andre,,https://en.wikipedia.org/wiki/Andr%C3%A9_Lur%C3%A7at,8/27/1894,7/11/70,No,,1929,,,
193,Lutyens,Edwin,,https://en.wikipedia.org/wiki/Edwin_Lutyens,3/29/1869,1/1/44,No,,"1916, 1914",,,
194,Lyyn,Greg,,https://en.wikipedia.org/wiki/Greg_Lynn,1964,,No,,2002,,,
195,MacCormac,Richard,,https://en.wikipedia.org/wiki/Richard_MacCormac,9/3/38,7/26/14,No,,1987,,,
196,Mackintosh,Charles,,https://en.wikipedia.org/wiki/Charles_Rennie_Mackintosh,6/7/1868,12/10/28,No,,"1904, 1905",,,
197,Maekawa,Kunio,,https://en.wikipedia.org/wiki/Kunio_Maekawa,5/14/05,6/26/86,No,,1957,,,
198,Maillart,Robert,http://viaf.org/viaf/35251528,https://en.wikipedia.org/wiki/Robert_Maillart,2/16/1872,4/5/40,No,,1900,,,
199,Maki,Fumihiko,,https://en.wikipedia.org/wiki/Fumihiko_Maki,9/6/28,6/6/24,Yes,,1990,,,
200,Makim MW,,,,,,No,,1900,,,
201,Makovecz,Imre,,https://en.wikipedia.org/wiki/Imre_Makovecz,11/20/35,9/27/11,No,,1997,,,
202,Maldonado,Tomás,,https://en.wikipedia.org/wiki/Tom%C3%A1s_Maldonado,4/25/22,11/26/18,Yes,,1963,,,
203,May,Ernst,,https://en.wikipedia.org/wiki/Ernst_May,7/27/1886,9/11/70,No,,1924,,,
