item-no,pos-in-chrono,poss-names,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms,author,top-bio-keywords,top-bio-systems,n-bio-comparisons,top-built-keywords
501,1920.0,,Contemporary City Plan Voisin,Contemporary City Plan Voisin,,,,,,,,,,,,,,,
500,1939.0,,CAPITALIST & COMMUNIST TRADITION,CAPITALIST & COMMUNIST TRADITION,,,,,,,,,,,,,,,
499,1933.0,,RACIST,RACIST,,,,,,,,,,,,,,,
498,1940.0,,Stripped Classicism,Stripped Classicism,,,,,,,,,,,,,,,
497,1938.0,,REACTIONARY MODERNISM,REACTIONARY MODERNISM,,,,,,,,,,,,,,,
496,1937.0,,HISTORICAL REVIVALIST,HISTORICAL REVIVALIST,,,,,,,,,,,,,,,
495,1935.0,,Blood & Soil,Blood & Soil,,,,,,,,,,,,,,,
494,1934.0,,Nazi,Nazi,,,,,,,,,,,,,,,
493,1940.0,,FASCIST,FASCIST,,,,,,,,,,,,,,,
492,1940.0,,MONUMENTAL,MONUMENTAL,,,,,,,,,,,,,,,
491,1942.0,,AUTOBAHNEN,AUTOBAHNEN,,,,,,,,,,,,,,,
490,1941.0,,NATIONALIST,NATIONALIST,,,,,,,,,,,,,,,
489,1967.0,,MEGAPOLIS,MEGAPOLIS,,,,,,,,,,,,,,,
488,1971.0,,PRAGMATIC,PRAGMATIC,,,,,,,,,,,,,,,
487,1965.0,,BUREAUCRATIC NEO-INTERNATIONAL STYLE,BUREAUCRATIC NEO-INTERNATIONAL STYLE,,,,,,,,,,,,,,,
486,1957.0,,SOM,SOM,,,,,,,,,,,,,,,
485,1969.0,,bourgeoisie,bourgeoisie,,,,,,,,,,,,,,,
484,1959.0,,TAC,TAC,,,,,,,,,,,,,,,
483,1965.0,,EXPOS,EXPOS,,,,,,,,,,,,,,,
482,1963.0,,academic,academic,,,,,,,,,,,,,,,
481,1998.0,,CORPORATE MODERNISM,CORPORATE MODERNISM,,,,,,,,,,,,,,,
480,2000.0,,Town Celebration,Town Celebration,,,,,,,,,,,,,,,
479,1994.0,,Urban Task Force,Urban Task Force,,,,,,,,,,,,,,,
478,2000.0,,Drug Culture,Drug Culture,,,,,,,,,,,,,,,
477,1990.0,,3rd World Ghetto,3rd World Ghetto,,,,,,,,,,,,,,,
476,1993.0,,Ozone Hole,Ozone Hole,,,,,,,,,,,,,,,
475,1989.0,,immiseration of 2 billion,immiseration of 2 billion,,,,,,,,,,,,,,,
474,1980.0,,Super Sprawl,Super Sprawl,,,,,,,,,,,,,,,
473,1979.0,,Edge Cities,Edge Cities,,,,,,,,,,,,,,,
472,1982.0,,Disney Po-Mo,Disney Po-Mo,,,,,,,,,,,,,,,
471,1979.0,,Mallification USA,Mallification USA,,,,,,,,,,,,,,,
470,1978.0,,Coop.H,Coop.H,,,,,,,,,,,,,,,
469,1972.0,,Pluralist,Pluralist,,,,,,,,,,,,,,,
468,1975.0,,Post-Modernism,Post-Modernism,,,,,,,,,,,,,,,
467,1975.0,,PARTICIPATION IN DESIGN,PARTICIPATION IN DESIGN,,,,,,,,,,,,,,,
466,1980.0,,OMA,OMA,,,,,,,,,,,,,,,
465,1972.0,,Advocacy,Advocacy,,,,,,,,,,,,,,,
464,1978.0,,Community A,Community A,,,,,,,,,,,,,,,
463,1997.0,,generic arch,generic arch,,,,,,,,,,,,,,,
462,1996.0,,Morphosis,Morphosis,,,,,,,,,,,,,,,
461,1996.0,,Complexity Sciences,Complexity Sciences,,,,,,,,,,,,,,,
460,1993.0,,event,event,,,,,,,,,,,,,,,
