Last Name,First Name,VIAF,Wikipedia Entry,"Born/
Established",Died,Works in HTRC?,Pos.(s) in Chronogram,,
Fisher,Mark,,https://en.wikipedia.org/wiki/Mark_Fisher_(architect),4/20/1947,6/25/2013,No,1997,,
FOA,,,https://en.wikipedia.org/wiki/Foreign_Office_Architects,1993,,No,2002,,
Foster,Norman,,"https://en.wikipedia.org/wiki/Norman_Foster,_Baron_Foster_of_Thames_Bank",6/1/1935,,Yes,"1971, 1998",,
Frampton,Kenneth,,https://en.wikipedia.org/wiki/Kenneth_Frampton,11/20/1930,,Yes,1985,,
Freyssinet,Eugène,,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Freyssinet,6/13/1879,6/8/1962,No,1925,,
Friedman,Yona,,https://en.wikipedia.org/wiki/Yona_Friedman,6/5/1923,2/20/2020,No,1960,,
Fromin,,,,,,No,1944,,
Fuksas,Massimiliano,,https://en.wikipedia.org/wiki/Massimiliano_Fuksas,1/9/1944,,Yes,1993,,
Fuller,Buckminster,,https://en.wikipedia.org/wiki/Buckminster_Fuller,7/12/1895,7/1/1983,Yes,"1929, 1958",,
Gardella,Ignazio,,https://en.wikipedia.org/wiki/Ignazio_Gardella,3/30/1905,3/16/1999,No,1955,,
Garnier,Charles,,https://en.wikipedia.org/wiki/Charles_Garnier_(architect),11/6/1825,9/3/1898,No,"1902, 1903",,
Gaudi,Antoni,,https://en.wikipedia.org/wiki/Antoni_Gaud%C3%AD,6/25/1852,6/10/1926,No,1902,,
Gehry,Frank,,https://en.wikipedia.org/wiki/Frank_Gehry,2/28/1929,,Yes,"1980, 1982, 1992",,
Gibberd,Frederick,,https://en.wikipedia.org/wiki/Frederick_Gibberd,1/7/1908,1/9/1984,Yes,1963,,
Giedion,Sigfried,,https://en.wikipedia.org/wiki/Sigfried_Giedion,4/14/1888,4/10/1968,No,1930,,
Gilbert,Cass,,https://en.wikipedia.org/wiki/Cass_Gilbert,11/24/1859,5/17/1934,Yes,1918,,
Gill,Irving`,,https://en.wikipedia.org/wiki/Irving_Gill,4/26/1870,10/7/1936,No,1919,,
Ginzburg,Moisei,,https://en.wikipedia.org/wiki/Moisei_Ginzburg,06/04/1892,01/07/1946,No,"1927, 29",,
Gocar,Josef,,https://en.wikipedia.org/wiki/Josef_Go%C4%8D%C3%A1r,3/13/1880,9/10/1945,No,1903,,
Goff,Bruce,,https://en.wikipedia.org/wiki/Bruce_Goff,6/8/1904,8/4/1982,Yes,1956,,
Gough,Piers,,https://en.wikipedia.org/wiki/Piers_Gough,4/24/1946,,No,1979,,
Graves,Michael ,,https://en.wikipedia.org/wiki/Michael_Graves,7/9/1934,3/12/2015,Yes,1976,,
Greene,Charles Sumner,,https://en.wikipedia.org/wiki/Greene_and_Greene,1868,1957,Yes,1908,,
Greene,Henry Mather,,https://en.wikipedia.org/wiki/Greene_and_Greene,1/23/1870,10/2/1954,Yes,1908,,
Greene,Herb,,https://en.wikipedia.org/wiki/Herb_Greene_(architect),1929,,Yes,1962,,
Grimshaw,Nicholas,,https://en.wikipedia.org/wiki/Nicholas_Grimshaw,10/9/1939,,Yes,"1977, 1994",,
Gropius,Walter,,https://en.wikipedia.org/wiki/Walter_Gropius,5/18/1883,7/5/1969,Yes,1927,,
Guimard,Hector,,https://en.wikipedia.org/wiki/Hector_Guimard,3/10/1867,5/20/1942,No,1898,,
Gwathmey,Charles,,https://en.wikipedia.org/wiki/Charles_Gwathmey,6/19/1938,8/3/2009,Yes,1975,,
Habraken,John,,https://en.wikipedia.org/wiki/N._John_Habraken,10/29/1928,10/21/2023,No,1968,,
Hadid,Zaha,,https://en.wikipedia.org/wiki/Zaha_Hadid,10/31/1950,3/31/2016,Yes,1990,,
Hampstead,,,,,,No,1912,,
Hara,Hiroshi,,https://en.wikipedia.org/wiki/Hiroshi_Hara_(architect),9/9/1936,,Yes,1996,,
