item-no,pos-in-chrono,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms
74,1993,Jiricna,Jiricna,Eva,person,http://viaf.org/viaf/5112937,https://en.wikipedia.org/wiki/Eva_Ji%C5%99i%C4%8Dn%C3%A1,,3/3/1939,,0,0,term1 term2 term3 term4 term5
75,1993,Von Gerkan,von Gerkan,Meinhard,person,http://viaf.org/viaf/84759263,https://en.wikipedia.org/wiki/Meinhard_von_Gerkan,,1/3/1935,11/30/2022,9999,4,term1 term2 term3 term4 term5
76,1994,Grimshaw,Grimshaw,Nicholas,person,http://viaf.org/viaf/79406851,https://en.wikipedia.org/wiki/Nicholas_Grimshaw,,10/9/1939,,9999,3,term1 term2 term3 term4 term5
77,1993,Perrault,Perrault,Dominique,person,http://viaf.org/viaf/117938509,https://en.wikipedia.org/wiki/Dominique_Perrault,,4/9/1953,,9999,56,term1 term2 term3 term4 term5
78,1993,Ritchie,Ritchie,Ian,person,http://viaf.org/viaf/46917705,https://en.wikipedia.org/wiki/Ian_Ritchie_(architect),,6/24/1947,,9999,745,term1 term2 term3 term4 term5
79,1998,FOSTER,Foster,Norman,person,http://viaf.org/viaf/76453877,"https://en.wikipedia.org/wiki/Norman_Foster,_Baron_Foster_of_Thames_Bank",,6/1/1935,,9999,,term1 term2 term3 term4 term5
80,1998,YEANG,Yeang,Ken,person,http://viaf.org/viaf/73922661,https://en.wikipedia.org/wiki/Ken_Yeang,,10/6/1948,,9999,4,term1 term2 term3 term4 term5
81,2001,ROGERS,Rogers,Richard,person,http://viaf.org/viaf/90597250,https://en.wikipedia.org/wiki/Richard_Rogers,,7/23/1933,12/18/2021,0,0,term1 term2 term3 term4 term5
82,2002,Norton,Norton,,,,,,,,0,0,term1 term2 term3 term4 term5
83,2002,BROOKES,Brookes,,,http://viaf.org/viaf/73850749,,,,,0,0,term1 term2 term3 term4 term5
84,,Sejima,Sejima,,,http://viaf.org/viaf/92989241,,,,,,3,term1 term2 term3 term4 term5
85,2002,Herzog & De-Meuron,Herzog & de Meuron,Jacques,,http://viaf.org/viaf/118759,https://en.wikipedia.org/wiki/Jacques_Herzog,,4/19/1950,,0,0,term1 term2 term3 term4 term5
